species,longitude,latitude
Rubus chamaemorus,4491135.166,4231392.338
Rubus chamaemorus,4807367.947,4733272.634999999
Rubus chamaemorus,4183869.311,4193123.212
Rubus chamaemorus,5229979.197999999,4271297.55
Rubus chamaemorus,4585256.043,4186870.808
Rubus chamaemorus,4949255.701,5030899.387
Rubus chamaemorus,5131281.392,4986212.344
Rubus chamaemorus,4573029.072,4084996.826
Rubus chamaemorus,5034583.477,4333167.426
Rubus chamaemorus,4577221.256,4997211.749
Rubus chamaemorus,5098717.058,4336456.682
Rubus chamaemorus,5068948.285,5179428.864
Rubus chamaemorus,5295071.966,3940095.655
Rubus chamaemorus,4873602.548,5321787.966
Rubus chamaemorus,5119702.921,5047029.281
Rubus chamaemorus,4881554.001,5036133.782
Rubus chamaemorus,4355251.954,4467786.771
Rubus chamaemorus,4434140.809,4300194.312
Rubus chamaemorus,5180022.881,4907172.815
Rubus chamaemorus,4777765.704,5153609.884999999
Rubus chamaemorus,4874002.3,4524037.835
Rubus chamaemorus,4817215.102,4719306.008
Rubus chamaemorus,5138139.323,4284397.28
Rubus chamaemorus,4728807.908,4576485.489
Rubus chamaemorus,4292454.019,4219543.185
Rubus chamaemorus,4455551.541,4247762.426
Rubus chamaemorus,4608998.924,4658402.512
Rubus chamaemorus,5182629.378,4908364.931
Rubus chamaemorus,5089292.938,4309357.036
Rubus chamaemorus,4292179.581,4058853.993
Rubus chamaemorus,4698237.722,4155249.454
Rubus chamaemorus,4937108.166,5013694.37
Rubus chamaemorus,4462074.973,4993102.712
Rubus chamaemorus,4264169.907,4375127.204
Rubus chamaemorus,4376168.364,4319050.626
Rubus chamaemorus,4988177.646,5335155.231000001
Rubus chamaemorus,4193468.833,4431904.729
Rubus chamaemorus,4824214.21,5295162.994
Rubus chamaemorus,5084197.192,4261683.669
Rubus chamaemorus,4127200.692,4184729.586
Rubus chamaemorus,4637137.933,5042739.5
Rubus chamaemorus,4767359.822,4910523.64
Rubus chamaemorus,4784578.549,4941811.249
Rubus chamaemorus,5011124.481,4673032.746
Rubus chamaemorus,4597995.382,4684544.756
Rubus chamaemorus,4523489.719,5103758.968
Rubus chamaemorus,4163211.179,3927355.796
Rubus chamaemorus,4593255.54,3708626.349
Rubus chamaemorus,4382784.769,4361496.359
Rubus chamaemorus,5064269.813,4273481.437
Rubus chamaemorus,4752464.947,4714031.918
Rubus chamaemorus,4835102.239,4605256.554
Rubus chamaemorus,4541496.991,4556775.319
Rubus chamaemorus,5109142.013,5372769.602
