species,longitude,latitude
Rubus chamaemorus,4840415.382,4731798.752
Rubus chamaemorus,4095294.815,4082331.194
Rubus chamaemorus,4402436.86,4644899.396
Rubus chamaemorus,4355387.288,4468116.414
Rubus chamaemorus,4533068.382,3709219.694
Rubus chamaemorus,4092639.148,4058330.336
Rubus chamaemorus,4704321.786,3920567.896
Rubus chamaemorus,4546336.716,3674179.872
Rubus chamaemorus,4560531.422,4433669.446
Rubus chamaemorus,4540778.968,4882767.766
Rubus chamaemorus,4495869.762,3928371.146
Rubus chamaemorus,5086476.197,5373051.856000001
Rubus chamaemorus,4738969.808,4022439.357
Rubus chamaemorus,4851783.187,4871217.63
Rubus chamaemorus,4145241.004,4391130.864
Rubus chamaemorus,4741135.381,4907323.782
Rubus chamaemorus,4466284.307,4820008.784
Rubus chamaemorus,4520898.799,3814288.565
Rubus chamaemorus,4643545.765,4315752.854
Rubus chamaemorus,4543455.937,4073371.2220000005
Rubus chamaemorus,4575170.324,4180298.781
Rubus chamaemorus,4671049.942,3717264.223
Rubus chamaemorus,4736972.095,3987683.463
Rubus chamaemorus,4409483.987,4022927.038
Rubus chamaemorus,4518198.274,3735716.547
Rubus chamaemorus,4144851.627,4176231.823
Rubus chamaemorus,4370185.65,4492453.983
Rubus chamaemorus,4618371.329,4098449.277
Rubus chamaemorus,4420835.564,4289168.819
Rubus chamaemorus,4261117.509,4241501.62
Rubus chamaemorus,4273547.654,4490792.168
Rubus chamaemorus,4663221.341,3856226.32
Rubus chamaemorus,4424291.548,4137395.177
Rubus chamaemorus,4671179.693,3757157.802
Rubus chamaemorus,4590897.961,3990473.698
Rubus chamaemorus,4738078.682,5178920.144
Rubus chamaemorus,4686725.861,4164330.745
Rubus chamaemorus,4585771.647,3876210.026
Rubus chamaemorus,4521742.186,4873010.258
Rubus chamaemorus,4812343.131,5271838.921
Rubus chamaemorus,4660869.096,4884935.453
Rubus chamaemorus,4136089.312,4167314.436
Rubus chamaemorus,4915949.177,4876207.77
Rubus chamaemorus,4307980.781,4395215.634
Rubus chamaemorus,4808940.011,4103815.574
